project_id,project_name,gc_name,risk_level,main_issue,realized_margin_pct,cost_vs_budget,billing_gap_pct,approved_co_pct,rejected_co_pct,total_rfis,labor_burn_ratio,labor_avg_pct_overrun,material_avg_pct_overrun,management_cause,evidence,recommended_action,severity
PRJ-2021-260,Nashville Mixed-Income Housing - Climate Control,Mortenson,HIGH,Underbilling / Financial Loss,-0.956,2.95,0.081,0.082,0.006,96,4.731,3.886,0.616,Labor execution,Labor burn ratio is 4.73x budget,"Review crew productivity, OT, and field supervision",Critical
PRJ-2019-113,Kansas City Middle School - HVAC Systems,Turner Construction,HIGH,Underbilling / Financial Loss,-0.589,2.331,0.146,0.164,0.003,99,3.496,2.702,0.472,Scope / estimating,Approved COs are 16.4% of original contract,"Strengthen bid review, scope coverage, and preconstruction",Critical
PRJ-2018-052,Richmond Mixed-Use Tower - Mechanical,Skanska USA,HIGH,Underbilling / Financial Loss,-0.434,1.226,0.081,0.08,0.054,72,1.515,0.6,0.044,Unrecovered change orders,Rejected COs are 5.4% of original contract,Require tighter approval before extra work proceeds,Critical
PRJ-2022-322,Kansas City Corporate Campus - HVAC Systems,Mortenson,HIGH,Underbilling / Financial Loss,-0.413,1.761,0.116,0.125,0.0,54,2.376,1.79,0.39,Scope / estimating,Approved COs are 12.5% of original contract,"Strengthen bid review, scope coverage, and preconstruction",Critical
PRJ-2021-318,Boston Middle School - HVAC Systems,Mortenson,HIGH,Underbilling / Financial Loss,-0.393,1.279,0.084,0.085,0.04,37,1.656,1.091,0.079,Unrecovered change orders,Rejected COs are 4.0% of original contract,Require tighter approval before extra work proceeds,Critical
PRJ-2019-152,Phoenix Mixed-Use Tower - Mechanical,Mortenson,HIGH,Underbilling / Financial Loss,-0.373,1.596,0.089,0.089,0.055,43,2.133,1.269,0.335,Unrecovered change orders,Rejected COs are 5.5% of original contract,Require tighter approval before extra work proceeds,Critical
PRJ-2020-203,San Antonio High School - New Construction,DPR Construction,HIGH,Underbilling / Financial Loss,-0.301,1.759,0.174,0.203,0.028,78,2.435,1.591,0.37,Billing / collections,Billing gap is 17.4% of adjusted contract,"Accelerate billing, closeout, and collections follow-up",Critical
PRJ-2022-325,Minneapolis Apartment Complex - MEP,Mortenson,HIGH,Underbilling / Financial Loss,-0.299,1.038,0.138,0.153,0.067,82,1.259,0.401,0.0,Unrecovered change orders,Rejected COs are 6.7% of original contract,Require tighter approval before extra work proceeds,Critical
PRJ-2021-315,Baltimore Mixed-Income Housing - Climate Control,Skanska USA,HIGH,Underbilling / Financial Loss,-0.29,1.155,0.145,0.163,0.031,86,1.44,0.648,0.001,Unrecovered change orders,Rejected COs are 3.1% of original contract,Require tighter approval before extra work proceeds,Critical
PRJ-2021-243,Columbus Middle School - HVAC Systems,Mortenson,HIGH,Underbilling / Financial Loss,-0.282,1.061,0.136,0.149,0.125,89,1.362,0.506,0.0,Unrecovered change orders,Rejected COs are 12.5% of original contract,Require tighter approval before extra work proceeds,Critical
PRJ-2019-154,Las Vegas Colocation Facility - HVAC,DPR Construction,HIGH,Underbilling / Financial Loss,-0.28,1.0,0.087,0.089,0.048,51,1.135,0.213,0.0,Unrecovered change orders,Rejected COs are 4.8% of original contract,Require tighter approval before extra work proceeds,Critical
PRJ-2020-184,San Antonio Cloud Campus Phase 1 - Cooling,Skanska USA,HIGH,Underbilling / Financial Loss,-0.201,1.173,0.146,0.165,0.017,78,1.437,0.699,0.094,Scope / estimating,Approved COs are 16.5% of original contract,"Strengthen bid review, scope coverage, and preconstruction",Critical
PRJ-2019-120,Albuquerque Senior Living - HVAC Upgrade,DPR Construction,HIGH,Underbilling / Financial Loss,-0.171,0.883,0.059,0.057,0.031,51,0.923,0.017,0.0,Unrecovered change orders,Rejected COs are 3.1% of original contract,Require tighter approval before extra work proceeds,Critical
PRJ-2022-372,Pittsburgh Business Center - MEP Systems,Skanska USA,HIGH,Underbilling / Financial Loss,-0.167,0.988,0.049,0.045,0.081,75,1.048,0.19,0.097,Unrecovered change orders,Rejected COs are 8.1% of original contract,Require tighter approval before extra work proceeds,Critical
PRJ-2018-048,Boston Unified School District - HVAC Modernization,DPR Construction,HIGH,Underbilling / Financial Loss,-0.153,1.021,0.088,0.09,0.043,87,1.105,0.299,0.11,Unrecovered change orders,Rejected COs are 4.3% of original contract,Require tighter approval before extra work proceeds,Critical
PRJ-2018-055,Oklahoma City Mixed-Income Housing - Climate Control,JE Dunn,HIGH,Underbilling / Financial Loss,-0.153,1.109,0.142,0.158,0.032,60,1.31,0.611,0.079,Unrecovered change orders,Rejected COs are 3.2% of original contract,Require tighter approval before extra work proceeds,Critical
PRJ-2021-269,Indianapolis Edge Data Center - Thermal Management,DPR Construction,HIGH,Underbilling / Financial Loss,-0.128,1.1,0.15,0.17,0.021,95,1.334,0.484,0.106,Scope / estimating,Approved COs are 17.0% of original contract,"Strengthen bid review, scope coverage, and preconstruction",Critical
PRJ-2018-026,Las Vegas Surgery Center - Climate Control,Turner Construction,HIGH,Underbilling / Financial Loss,-0.112,1.047,0.119,0.128,0.016,57,1.169,0.316,0.1,Scope / estimating,Approved COs are 12.8% of original contract,"Strengthen bid review, scope coverage, and preconstruction",Critical
PRJ-2022-366,Columbus Hospital - Mechanical Systems Renovation,JE Dunn,HIGH,Underbilling / Financial Loss,-0.092,0.97,0.108,0.114,0.042,58,1.034,0.192,0.109,Unrecovered change orders,Rejected COs are 4.2% of original contract,Require tighter approval before extra work proceeds,Critical
PRJ-2021-294,Pittsburgh Colocation Facility - HVAC,Mortenson,HIGH,"Underbilling / Financial Loss, Execution Inefficiency",-0.089,0.991,0.109,0.117,0.08,70,1.084,0.292,0.094,Unrecovered change orders,Rejected COs are 8.0% of original contract,Require tighter approval before extra work proceeds,Critical
PRJ-2020-173,Boston Middle School - HVAC Systems,Skanska USA,HIGH,Underbilling / Financial Loss,-0.081,0.9,0.104,0.108,0.065,35,0.948,0.16,0.032,Unrecovered change orders,Rejected COs are 6.5% of original contract,Require tighter approval before extra work proceeds,Critical
PRJ-2020-174,Louisville Cloud Campus Phase 1 - Cooling,JE Dunn,MEDIUM,"Underbilling / Financial Loss, Execution Inefficiency",-0.071,0.841,0.151,0.17,0.008,85,0.863,0.0,0.0,Billing / collections,Billing gap is 15.1% of adjusted contract,"Accelerate billing, closeout, and collections follow-up",Critical
PRJ-2018-008,Louisville High School - New Construction,Skanska USA,HIGH,Underbilling / Financial Loss,-0.064,0.932,0.175,0.204,0.0,81,1.069,0.095,0.0,Billing / collections,Billing gap is 17.5% of adjusted contract,"Accelerate billing, closeout, and collections follow-up",Critical
PRJ-2018-018,Las Vegas Unified School District - HVAC Modernization,Turner Construction,MEDIUM,Execution Inefficiency,-0.062,0.72,0.056,0.053,0.057,66,0.588,0.0,0.0,Unrecovered change orders,Rejected COs are 5.7% of original contract,Require tighter approval before extra work proceeds,Critical
PRJ-2019-153,Indianapolis Middle School - HVAC Systems,DPR Construction,HIGH,Underbilling / Financial Loss,-0.05,0.951,0.217,0.269,0.021,89,1.067,0.247,0.009,Billing / collections,Billing gap is 21.7% of adjusted contract,"Accelerate billing, closeout, and collections follow-up",Critical
PRJ-2022-367,Houston Office Park - Core & Shell MEP,JE Dunn,MEDIUM,"Underbilling / Financial Loss, Execution Inefficiency",-0.048,0.919,0.125,0.136,0.036,81,0.979,0.033,0.036,Unrecovered change orders,Rejected COs are 3.6% of original contract,Require tighter approval before extra work proceeds,Critical
PRJ-2022-350,San Antonio Senior Living - HVAC Upgrade,Mortenson,HIGH,Underbilling / Financial Loss,-0.031,0.926,0.082,0.082,0.075,89,0.944,0.142,0.097,Unrecovered change orders,Rejected COs are 7.5% of original contract,Require tighter approval before extra work proceeds,Critical
